AdditionalInfo(Austria,,Austria)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(金門地區限制水域,,金門地區限制水域)
AdditionalInfo(Ohoi Debut Laai,,Ohoi Debut Laai)
AdditionalInfo(Greenland,,Greenland)
AdditionalInfo(Libya,,Libya)
AdditionalInfo(Mexico,,Mexico)
AdditionalInfo(Australia,,Australia)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Peru,,Peru)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Congo-Brazzaville,,Congo-Brazzaville)
AdditionalInfo(India,,India)
AdditionalInfo(Ecuador,,Ecuador)
AdditionalInfo(Brazil,,Brazil)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Indonesia,,Indonesia)
AdditionalInfo(Indonesia,,Indonesia)
AdditionalInfo(Norway,,Norway)
AdditionalInfo(Dist. Judges Court,,Dist. Judges Court)
AdditionalInfo(Chile,,Chile)
AdditionalInfo(USA,,USA)
AdditionalInfo(Francis Joseph's Land,,Francis Joseph's Land)
AdditionalInfo(Paracel Islands,,Paracel Islands)
AdditionalInfo(Mauritania,,Mauritania)
AdditionalInfo(Norway,,Norway)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Namibia,,Namibia)
AdditionalInfo(Indonesia,,Indonesia)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Vietnam,,Vietnam)
AdditionalInfo(Vietnam,,Vietnam)
AdditionalInfo(Mongolia,,Mongolia)
AdditionalInfo(Peru,,Peru)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Iran,,Iran)
AdditionalInfo(Venezuela,,Venezuela)
AdditionalInfo(USA,,USA)
AdditionalInfo(Australia,,Australia)
AdditionalInfo(Chad,,Chad)
AdditionalInfo(Chad,,Chad)
AdditionalInfo(Francis Joseph's Land,,Francis Joseph's Land)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Mongolia,,Mongolia)
AdditionalInfo(Algeria,,Algeria)
AdditionalInfo(Greenland,,Greenland)
AdditionalInfo(Francis Joseph's Land,,Francis Joseph's Land)
AdditionalInfo(Sudan,,Sudan)
AdditionalInfo(Turkmenistan,,Turkmenistan)
AdditionalInfo(Francis Joseph's Land,,Francis Joseph's Land)
AdditionalInfo(Francis Joseph's Land,,Francis Joseph's Land)
AdditionalInfo(Poland,,Poland)
AdditionalInfo(Brazil,,Brazil)
AdditionalInfo(Australia,,Australia)
AdditionalInfo(France- Clipperton (eaux territoriales),,France, Clipperton (eaux territoriales))
AdditionalInfo(PRC,,PRC)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(USA,,USA)
AdditionalInfo(Argentina,,Argentina)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Australia,,Australia)
AdditionalInfo(Nigeria,,Nigeria)
AdditionalInfo(Mexico,,Mexico)
AdditionalInfo(Brazil,,Brazil)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Mongolia,,Mongolia)
AdditionalInfo(Ethiopia,,Ethiopia)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(USA,,USA)
AdditionalInfo(Brazil,,Brazil)
AdditionalInfo(USA,,USA)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Pakistan,,Pakistan)
AdditionalInfo(Russia,,Russia)
AdditionalInfo(Canada,,Canada)
AdditionalInfo(Francis Joseph's Land,,Francis Joseph's Land)
AdditionalInfo(Morocco,,Morocco)
AdditionalInfo(Norway,,Norway)
AdditionalInfo(Ghana,,Ghana)
AdditionalInfo(PRC,,PRC)
AdditionalInfo(PRC,,PRC)
AdditionalInfo(PRC,,PRC)
AdditionalInfo(Kazakhstan,,Kazakhstan)
AdditionalInfo(Malawi,,Malawi)
